AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
17,7,10,16,27,92,26,26,33
15,6,9,16,27,91,26,26,32
14,6,8,15,27,91,26,26,33
14,5,8,15,28,90,26,26,33
14,5,8,15,28,90,26,26,33
14,5,8,14,28,91,26,26,33
14,6,9,14,28,91,26,26,33
13,5,8,14,27,90,26,26,32
14,6,8,16,27,90,26,26,32
14,6,8,16,27,91,26,26,33
15,6,9,16,28,90,26,26,33
15,6,9,17,28,90,26,26,33
15,6,9,17,27,92,26,26,33
16,6,10,18,27,92,26,26,32
15,6,9,16,27,91,26,26,32
19,7,11,20,27,91,26,26,33
21,8,13,20,27,91,26,26,32
16,6,10,17,27,92,26,26,33
19,7,11,19,27,92,26,26,33
20,8,12,20,27,92,26,26,33
17,6,10,17,27,92,26,26,33
15,6,9,16,27,92,26,26,33
15,6,9,17,27,92,26,26,33
17,6,10,17,27,92,26,26,32
16,6,10,16,27,91,26,26,32
16,6,10,17,27,91,26,26,32
17,6,10,17,27,92,26,26,32
17,6,10,17,27,92,26,26,32
16,6,10,17,27,92,26,26,32
15,6,9,16,27,91,26,26,32
14,6,8,16,27,91,26,26,32
15,6,9,16,27,92,26,26,32
14,6,9,16,27,92,26,26,32
15,6,9,17,27,92,26,26,32
16,6,10,18,27,92,26,26,32
15,6,9,17,27,92,26,26,32
16,6,9,16,27,92,26,26,32
15,6,9,16,27,91,26,26,32
15,6,9,17,27,92,26,26,32
15,6,9,16,27,92,26,26,32
16,6,9,18,27,92,26,26,32
16,6,9,16,27,91,26,26,32
15,6,9,16,27,92,26,26,32
16,6,10,17,27,92,26,26,32
17,7,10,18,27,91,26,26,32
20,7,12,20,27,92,26,26,32
17,6,10,18,27,92,26,26,32
17,7,10,18,27,91,26,26,32
19,7,12,20,27,92,26,26,32
15,6,9,16,27,91,26,26,32
17,6,10,18,27,91,26,26,32
18,7,11,18,27,90,26,26,33
17,7,10,18,28,90,26,26,33
17,7,10,17,28,90,26,26,33
19,7,12,19,27,90,26,26,33
21,8,12,20,28,91,26,26,33
19,7,12,20,28,90,26,26,33
19,7,11,20,28,90,26,26,34
19,7,12,20,28,90,26,27,34
19,7,11,20,28,88,26,26,34
19,7,11,20,28,90,26,27,34
18,7,11,20,28,89,26,26,33
18,7,11,19,28,89,26,26,34
20,7,12,20,28,89,26,27,34
20,7,12,20,28,88,26,26,34
19,7,11,19,28,89,26,27,35
20,7,12,21,29,87,26,27,36
20,7,12,21,29,86,26,27,36
18,7,11,19,29,87,26,27,35
19,7,11,19,29,86,26,27,35
21,8,12,21,29,87,26,27,35
18,7,11,19,28,88,26,27,35
17,7,10,19,28,86,26,26,35
18,7,11,20,29,87,26,27,36
17,6,10,18,29,88,26,27,35
18,7,11,19,28,88,26,27,35
17,7,10,20,28,87,26,27,35
17,6,10,18,29,88,26,27,35
16,6,10,18,29,85,26,27,37
16,6,10,17,29,83,26,26,36
16,6,9,18,29,86,26,27,36
17,6,10,18,29,85,26,26,35
16,6,10,18,29,87,26,26,34
16,6,10,17,28,86,26,26,34
17,7,10,17,28,87,26,26,34
18,7,10,18,28,89,26,27,34
17,6,10,18,28,90,26,27,34
18,7,11,18,28,88,26,26,34
17,7,10,17,28,88,26,26,34
18,7,10,17,28,87,26,26,34
18,7,11,20,28,87,26,26,34
17,7,10,17,28,88,26,26,34
18,7,11,19,28,89,26,26,34
18,7,11,18,28,89,26,26,33
21,9,13,20,28,90,26,26,34
20,8,12,20,28,90,26,26,32
23,9,14,24,27,92,25,26,31
26,10,15,25,27,92,26,26,31
24,10,14,23,27,91,26,26,32
24,10,14,23,27,92,26,26,32
26,11,16,23,27,92,26,26,33
23,9,14,22,27,93,26,26,33
23,9,14,23,27,93,26,26,32
23,9,14,23,27,91,26,26,32
21,8,13,21,27,90,26,26,32
22,9,14,24,27,93,26,26,32
22,8,13,22,27,92,26,26,32
22,8,13,21,27,93,26,26,32
23,9,14,22,27,92,26,26,32
19,8,11,18,27,91,26,26,32
20,7,12,20,27,92,26,26,33
21,8,13,20,27,91,26,26,33
26,10,16,24,27,91,26,26,32
21,8,12,21,27,91,26,26,33
19,7,12,20,27,92,26,26,33
19,7,11,20,27,92,26,26,32
21,8,12,21,27,91,26,26,32
18,7,11,20,27,92,26,26,32
17,6,10,18,27,91,26,26,32
17,7,10,18,27,92,26,26,32
16,6,10,18,27,92,25,26,31
17,7,10,19,27,93,26,26,32
18,7,11,18,27,94,26,26,32
19,7,11,19,27,93,26,26,32
18,7,11,19,27,90,25,26,31
17,7,10,18,27,92,26,26,32
18,7,10,18,27,92,26,26,32
17,7,10,19,27,92,26,26,32
18,7,11,18,27,92,26,26,32
18,7,11,18,27,92,26,26,32
18,7,11,19,27,91,26,26,32
17,7,10,17,27,91,26,26,32
17,7,10,17,27,89,25,26,31
16,6,10,16,27,90,25,26,31
17,7,10,17,27,91,26,26,32
17,6,10,20,27,92,26,26,32
17,7,10,19,27,91,26,26,32
17,7,10,18,27,91,26,26,32
16,7,10,17,27,90,26,26,32
17,6,10,18,27,90,26,26,32
16,6,10,18,27,90,25,26,32
24,9,14,24,27,91,26,26,32
26,10,16,24,27,92,26,26,32
19,8,11,19,27,91,26,26,32
18,7,11,18,27,90,25,26,32
19,8,12,19,27,91,26,26,32
20,8,12,20,27,91,26,26,32
18,7,11,18,27,91,26,26,32
20,8,12,19,27,91,26,26,33
23,10,14,22,28,90,26,26,33
22,8,13,22,28,90,26,26,33
22,8,13,22,28,91,26,26,34
22,8,13,22,28,89,26,26,34
23,9,14,22,28,89,26,26,34
19,8,12,19,28,88,26,26,33
21,9,13,21,28,89,26,26,33
18,7,11,19,28,90,26,26,33
18,7,11,19,28,90,26,26,34
20,8,12,20,28,89,26,27,34
18,7,11,19,28,90,26,27,34
19,7,12,20,28,87,26,26,33
18,7,11,19,28,90,26,27,34
19,7,11,19,28,87,26,26,33
23,9,14,21,28,90,26,27,34
21,8,13,21,28,88,26,27,35
22,9,13,22,29,86,26,27,36
19,8,11,19,29,85,26,27,37
19,7,11,20,30,84,27,27,38
16,6,10,18,30,86,27,27,37
17,7,10,18,29,85,27,27,38
19,7,11,19,29,88,26,26,33
17,7,10,16,27,89,25,26,32
18,8,11,20,27,90,26,26,32
18,7,11,18,28,89,26,26,34
22,8,13,22,28,89,26,26,34
18,7,11,19,28,92,26,27,34
18,7,11,19,28,91,27,27,36
18,7,10,18,29,87,26,27,36
17,7,10,18,29,87,26,27,35
16,6,10,16,29,87,26,27,35
17,7,10,19,28,84,25,26,33
16,7,10,16,28,85,25,26,33
18,7,11,19,28,89,26,26,33
18,7,11,18,28,88,26,26,34
18,7,11,18,28,89,26,26,34
18,7,11,19,28,92,26,26,33
18,7,11,19,27,92,26,26,33
20,8,12,20,28,92,26,26,33
21,8,13,21,28,91,26,26,33
23,9,14,21,28,91,26,26,33
21,8,12,21,28,92,26,26,33
21,8,12,20,27,93,26,26,32
20,7,12,20,27,94,26,26,32
19,7,11,19,27,95,26,26,32
19,8,11,19,27,94,26,26,32
16,6,10,17,27,95,26,26,32
20,8,12,20,27,94,26,26,33
22,8,13,21,27,92,26,26,32
17,6,10,19,27,93,26,26,32
17,6,10,17,27,92,26,26,32
18,7,11,18,27,93,26,26,32
16,6,10,16,27,92,26,26,32
17,7,10,17,27,93,26,26,32
14,6,8,15,27,93,26,26,32
15,6,9,16,27,93,26,26,32
15,6,9,16,27,94,26,26,33
18,7,11,18,27,94,26,26,33
16,6,10,18,27,94,26,26,33
18,7,11,20,27,93,26,26,33
18,6,11,19,27,91,26,26,32
15,5,9,16,27,92,26,26,32
17,6,10,18,27,92,26,26,32
17,6,10,19,27,92,26,26,32
15,6,9,16,27,92,26,26,32
14,5,8,16,27,92,26,26,33
12,5,7,16,27,92,26,26,32
14,5,8,17,27,92,26,26,32
14,5,8,16,27,92,26,26,32
13,5,8,16,27,92,26,26,33
14,5,8,17,27,92,26,26,32
13,5,8,17,27,94,26,26,32
13,5,8,16,27,93,26,26,32
13,4,8,16,27,92,26,26,32
14,5,8,17,27,93,26,26,32
13,5,8,15,27,92,26,26,32
18,8,11,19,27,89,25,25,31
15,6,9,15,27,91,25,26,31
13,5,8,15,27,92,25,26,31
11,4,7,12,27,92,26,26,32
12,4,7,14,27,93,26,26,32
14,5,8,16,27,93,26,26,32
13,5,8,16,27,93,26,26,32
15,5,9,17,27,92,25,26,31
16,6,10,17,27,91,25,26,31
22,9,13,19,27,88,25,25,31
22,9,13,18,27,89,25,25,31
17,7,10,17,27,92,26,26,31
17,7,10,17,27,93,26,26,32
19,8,11,18,27,93,26,26,32
22,9,13,20,27,94,26,26,32
21,8,12,20,27,93,26,26,32
20,8,12,22,27,93,26,26,32
17,6,10,18,27,93,26,26,32
17,6,10,18,27,93,26,26,33
17,6,10,19,27,93,26,26,33
18,7,11,19,27,92,26,26,33
18,6,11,21,28,92,26,26,33
17,6,10,19,28,91,26,26,33
17,6,10,20,28,92,26,26,33
18,7,10,19,28,92,26,26,33
20,8,12,21,28,91,26,26,34
17,6,10,19,28,90,26,26,33
19,7,11,20,28,90,26,26,34
18,7,10,20,28,90,26,27,34
17,6,10,18,28,89,26,26,34
16,6,9,17,28,90,26,27,34
17,6,10,20,28,90,27,27,35
17,6,10,18,28,90,26,27,35
17,7,10,19,28,88,26,27,35
23,8,14,22,29,88,27,27,37
18,6,11,21,29,88,27,27,37
17,6,10,20,29,86,27,27,37
18,6,11,19,29,87,27,27,37
18,7,11,20,29,85,27,27,37
17,6,10,18,29,86,27,27,37
15,6,9,19,29,86,26,27,36
18,7,11,19,29,88,26,27,34
16,6,9,16,28,89,26,27,35
17,6,10,18,28,88,26,27,35
17,6,10,20,29,88,27,27,36
14,5,8,19,29,88,27,27,36
15,5,9,19,29,88,26,27,35
15,5,9,20,29,86,26,27,36
16,6,10,19,29,87,26,27,35
16,6,10,18,28,88,26,26,34
15,5,9,19,28,88,26,27,35
16,5,10,19,28,90,26,27,35
18,6,11,21,28,89,26,27,35
17,6,10,21,28,90,27,27,35
18,6,11,20,28,88,26,27,35
16,5,10,20,28,88,26,27,35
20,7,12,23,29,88,26,27,35
21,7,12,24,29,89,26,27,35
20,7,12,23,28,87,26,26,34
21,8,12,22,28,89,26,27,34
24,8,14,25,28,89,26,26,34
19,6,12,21,28,90,26,26,34
20,7,12,23,28,90,26,27,34
22,8,13,24,28,91,26,26,34
20,7,12,23,28,90,26,26,33
18,7,11,21,28,90,26,26,33
19,7,12,20,28,91,26,26,33
18,6,11,22,28,91,26,26,34
17,6,10,21,28,91,26,26,34
17,6,10,21,28,91,26,26,33
20,6,12,24,28,91,26,26,33
20,7,12,22,28,92,26,26,32
18,6,11,20,27,94,26,26,32
18,6,11,20,27,93,25,26,31
19,7,12,21,27,94,26,26,31
18,6,11,21,27,94,26,26,31
16,5,10,18,27,94,26,26,32
16,6,9,19,27,93,26,26,32
16,6,10,20,27,94,26,26,32
23,8,14,24,27,94,26,26,33
17,6,10,20,27,93,26,26,32
19,6,12,22,27,94,26,26,32
17,6,10,21,27,92,26,26,32
15,5,9,19,27,92,26,26,32
14,4,9,18,27,92,26,26,32
15,5,9,20,27,91,26,26,32
14,4,8,18,27,91,26,26,32
13,4,8,18,27,92,26,26,32
16,5,10,21,27,92,26,26,33
13,4,8,18,27,92,26,26,32
12,4,7,17,27,90,25,26,32
11,4,6,15,27,91,25,26,32
12,4,7,16,27,91,25,26,32
12,4,7,17,27,90,25,26,31
11,4,7,16,27,92,26,26,32
13,4,8,18,27,90,25,26,32
12,4,7,16,27,92,26,26,32
13,4,8,16,27,93,25,26,30
12,4,7,16,26,93,25,25,30
11,4,6,14,26,93,25,25,30
10,4,6,12,26,92,25,25,30
10,4,6,13,26,92,25,25,30
10,4,6,13,26,93,25,26,31
11,4,6,14,27,94,26,26,31
9,3,6,12,27,93,26,26,31
11,4,6,14,27,94,26,26,31
13,4,8,17,27,94,26,26,31
12,4,7,15,27,93,26,26,31
16,6,9,19,27,90,25,26,31
15,6,9,17,27,91,25,26,31
15,6,9,17,27,91,25,26,31
17,6,10,17,27,91,25,26,32
15,6,9,16,27,92,26,26,32
13,4,8,17,27,92,26,26,32
12,4,7,16,27,93,26,26,32
14,5,9,19,27,93,26,26,33
15,5,9,19,28,92,26,27,34
16,5,10,20,28,92,26,27,34
15,5,9,19,28,90,26,27,34
15,5,9,21,28,90,26,27,34
19,6,11,22,28,90,26,27,35
17,6,10,19,28,89,26,27,35
15,5,9,20,29,89,27,27,36
16,5,9,20,29,89,27,27,36
15,5,9,19,29,88,26,27,35
15,5,9,20,29,87,26,27,36
15,5,9,19,29,87,26,27,36
16,5,10,20,29,87,26,27,36
13,4,8,18,29,84,26,26,34
11,4,7,14,28,83,25,26,34
17,7,10,17,29,83,26,26,35
15,5,9,16,29,86,26,27,36
14,5,9,18,29,85,26,27,36
16,5,10,20,29,85,26,27,36
15,5,9,18,29,84,26,27,36
14,4,9,18,29,85,26,27,37
14,4,8,18,29,83,26,27,37
13,4,8,18,29,84,27,27,37
15,5,9,19,30,84,27,27,38
13,4,8,18,30,83,26,27,37
13,4,8,17,30,84,26,27,37
14,4,8,18,29,83,26,27,37
12,4,7,16,29,80,25,26,36
12,4,7,16,30,81,26,27,37
13,4,8,17,30,81,26,27,38
12,4,7,16,30,80,26,27,39
13,4,8,18,30,81,26,27,38
15,5,9,18,30,82,26,27,38
14,5,8,18,30,81,26,27,38
14,5,9,17,30,79,27,27,39
12,4,7,17,31,77,26,27,40
13,4,8,17,31,79,26,27,38
12,4,7,15,30,81,26,27,37
13,4,8,16,29,82,26,27,36
13,4,8,17,29,83,26,27,37
14,5,8,17,29,84,26,26,35
14,5,8,17,29,87,26,27,35
16,5,10,19,28,87,26,27,35
20,7,12,22,28,87,26,26,34
23,8,14,24,28,88,26,26,34
23,8,14,25,28,88,26,26,34
17,6,10,20,28,88,26,26,33
17,6,10,20,28,88,26,26,34
18,6,11,21,28,88,26,26,34
19,6,11,21,28,88,26,26,34
17,6,10,19,28,89,26,26,34
17,6,10,20,28,89,26,26,33
17,6,10,21,28,88,26,26,34
18,6,11,22,28,88,26,26,34
18,6,11,20,28,90,26,26,34
19,7,11,23,28,90,26,26,33
16,6,10,20,28,89,26,26,33
15,5,9,19,28,90,26,26,33
15,5,9,19,28,90,26,26,33
15,5,9,19,28,90,26,26,33
19,6,11,22,28,90,26,26,33
30,9,18,31,28,89,26,26,33
18,6,11,22,28,90,26,26,33
22,7,13,24,28,89,26,26,33
18,6,11,20,28,90,26,26,33
18,6,11,22,27,92,26,26,33
17,6,10,21,27,94,26,26,32
17,6,10,21,27,93,26,26,31
17,6,10,20,27,93,26,26,32
15,5,9,19,27,93,26,26,32
17,6,10,21,27,93,26,26,32
17,6,10,20,27,93,26,26,32
16,5,10,19,27,93,26,26,32
16,6,10,20,27,93,26,26,32
16,5,10,21,27,92,26,26,32
15,5,9,19,27,91,26,26,32
15,5,9,20,27,92,26,26,32
16,5,9,20,27,92,26,26,32
16,5,10,20,27,90,25,26,32
15,5,9,19,27,92,26,26,32
13,5,8,18,27,89,25,26,31
14,5,9,18,27,92,26,26,32
15,5,9,20,27,90,25,26,31
14,5,8,18,27,91,26,26,32
13,4,8,18,27,90,25,26,32
15,5,9,18,27,90,25,26,32
13,4,8,17,27,90,25,26,32
14,5,9,19,27,89,25,26,32
15,5,9,18,27,89,25,26,32
13,4,8,17,27,89,25,26,32
13,5,8,16,27,89,25,26,32
21,7,12,23,27,90,26,26,33
16,5,9,18,27,90,26,26,32
14,5,8,18,27,89,26,26,32
13,5,8,16,27,90,26,26,33
13,4,8,16,27,88,25,26,32
13,5,8,16,27,87,25,26,32
12,4,7,14,27,87,25,26,32
15,5,9,17,28,88,25,26,33
13,5,8,17,28,85,25,26,33
11,5,7,12,28,82,25,26,33
12,5,8,13,28,85,25,26,34
13,5,8,15,28,84,26,26,34
13,5,8,14,29,86,26,27,36
13,5,8,16,29,86,26,27,36
12,4,7,16,29,85,26,26,35
12,4,7,16,29,83,26,26,35
12,4,7,14,29,82,26,26,36
12,4,7,15,29,83,26,26,35
12,4,7,15,29,81,26,26,35
12,5,7,14,29,80,25,26,35
12,5,7,15,29,82,25,26,34
17,6,10,17,29,82,25,26,34
18,7,11,18,29,80,25,26,34
19,7,11,18,29,79,25,26,34
14,6,8,16,29,79,25,26,35
13,5,8,14,29,78,25,26,36
13,5,8,16,30,80,26,26,36
12,4,8,15,30,80,26,27,37
11,4,6,15,30,79,26,27,37
12,4,7,16,30,80,26,27,38
13,4,8,17,30,81,26,27,37
12,4,7,16,30,83,26,27,37
13,5,8,16,29,86,26,26,35
15,5,9,17,29,86,26,27,35
16,6,9,17,29,85,26,27,36
14,5,8,15,29,84,25,26,34
13,5,8,15,28,86,26,26,34
11,4,7,12,28,86,26,26,34
12,4,8,14,29,86,26,27,35
14,5,8,16,29,85,26,26,35
12,4,7,15,29,84,26,26,35
13,4,8,16,29,83,26,26,36
12,4,7,14,29,84,26,26,35
11,4,6,14,29,85,26,27,36
13,4,8,16,29,84,26,27,36
16,5,10,21,29,83,26,26,35
12,4,7,15,29,84,26,26,35
14,5,8,17,28,86,26,26,34
23,10,14,22,28,87,26,27,35
16,6,10,19,28,88,26,26,34
14,5,9,16,28,87,26,26,34
18,7,11,18,28,87,26,26,34
17,6,10,18,28,87,26,26,33
15,6,9,16,28,88,26,26,34
14,6,9,16,28,88,26,26,33
15,5,9,17,28,88,26,26,34
15,6,9,17,28,89,26,26,34
13,5,8,14,28,88,26,26,33
17,6,10,18,28,87,26,26,33
16,6,10,18,28,87,25,26,33
15,6,9,17,28,88,25,26,33
15,6,9,17,28,89,26,26,33
16,6,10,17,28,90,26,26,33
14,5,9,16,28,89,26,26,33
13,5,8,16,28,90,26,26,33
13,5,8,15,28,88,25,26,33
14,5,8,16,28,89,26,26,33
19,7,12,21,28,88,26,26,33
15,5,9,17,28,89,26,26,33
